pokedex_number,name,generation,classfication,type1,type2,hp,height_m,weight_kg,speed,percentage_male,is_legendary,entry
186,Politoed,2,Frog Pokémon,water,,90,1.1,33.9,70,50.0,0,"If POLIWAG and POLIWHIRL hear its echoing cry, they respond by gathering from far and wide."
187,Hoppip,2,Cottonweed Pokémon,grass,flying,35,0.4,0.5,50,50.0,0,Edge_case
188,Skiploom,2,Cottonweed Pokémon,grass,flying,55,0.6,1.0,80,50.0,0,The bloom on top of its head opens and closes as the temperature fluctuates up and down.
189,Jumpluff,2,Cottonweed Pokémon,grass,flying,75,0.8,3.0,110,50.0,0,"Once it catches the wind, it deftly controls its cotton-puff spores to float, even around the world."
190,Aipom,2,Long Tail Pokémon,normal,,55,0.8,11.5,85,50.0,0,Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air.
191,Sunkern,2,Seed Pokémon,grass,,30,0.3,1.8,30,50.0,0,"It may drop out of the sky suddenly. If attacked by a SPEAROW, it will violently shake its leaves."
192,Sunflora,2,Sun Pokémon,grass,,75,0.8,8.5,30,50.0,0,"It converts sunlight into energy. In the darkness after sunset, it closes its petals and becomes still."
193,Yanma,2,Clear Wing Pokémon,bug,flying,65,1.2,38.0,95,50.0,0,"If it flaps its wings really fast, it can generate shock waves that will shatter windows in the area."
194,Wooper,2,Water Fish Pokémon,water,ground,55,0.4,8.5,15,50.0,0,This POKéMON lives in cold water. It will leave the water to search for food when it gets cold outside.
195,Quagsire,2,Water Fish Pokémon,water,ground,95,1.4,75.0,35,50.0,0,"This carefree POKéMON has an easy-going nature. While swimming, it always bumps into boat hulls."
196,Espeon,2,Sun Pokémon,psychic,,65,0.9,26.5,110,88.1,0,It uses the fine hair that covers its body to sense air currents and predict its enemy’s actions.
197,Umbreon,2,Moonlight Pokémon,dark,,95,1.0,27.0,65,88.1,0,"When agitated, this POKéMON protects itself by spraying poisonous sweat from its pores."
198,Murkrow,2,Darkness Pokémon,dark,flying,60,0.5,2.1,91,50.0,0,"Feared and loathed by many, it is believed to bring misfortune to all those who see it at night."
199,Slowking,2,Royal Pokémon,water,psychic,95,2.0,79.5,30,50.0,0,"It has incredible intellect and intuition. Whatever the situation, it remains calm and collected."
200,Misdreavus,2,Screech Pokémon,ghost,,60,0.7,1.0,85,50.0,0,It likes playing mischievous tricks such as screaming and wailing to startle people at night.
201,Unown,2,Symbol Pokémon,psychic,,48,0.5,5.0,48,,0,Their shapes look like hieroglyphs on ancient tablets. It is said that the two are somehow related.
202,Wobbuffet,2,Patient Pokémon,psychic,,190,1.3,28.5,33,50.0,0,"It hates light and shock. If attacked, it inflates its body to pump up its counterstrike."
203,Girafarig,2,Long Neck Pokémon,normal,psychic,70,1.5,41.5,85,50.0,0,"Its tail has a small brain of its own. Beware! If you get close, it may react to your scent and bite."
204,Pineco,2,Bagworm Pokémon,bug,,50,0.6,7.2,15,50.0,0,It likes to make its shell thicker by adding layers of tree bark. The additional weight doesn’t bother it.
205,Forretress,2,Bagworm Pokémon,bug,steel,75,1.2,125.8,40,50.0,0,Its entire body is shielded by a steel-hard shell. What lurks inside the armor is a total mystery.
206,Dunsparce,2,Land Snake Pokémon,normal,,100,1.5,14.0,45,50.0,0,"When spotted, this POKéMON escapes backward by furiously boring into the ground with its tail."
207,Gligar,2,Flyscorpion Pokémon,ground,flying,65,1.1,64.8,85,50.0,0,It flies straight at its target’s face then clamps down on the startled victim to inject poison.
208,Steelix,2,Iron Snake Pokémon,steel,ground,75,9.2,400.0,30,50.0,0,"Its body has been compressed deep under the ground. As a result, it is even harder than a diamond."
209,Snubbull,2,Fairy Pokémon,fairy,,60,0.6,7.8,30,24.6,0,"Although it looks frightening, it is actually kind and affectionate. It is very popular among women."
210,Granbull,2,Fairy Pokémon,fairy,,90,1.4,48.7,45,24.6,0,"It is actually timid and easily spooked. If attacked, it flails about to fend off its attacker."
211,Qwilfish,2,Balloon Pokémon,water,poison,65,0.5,3.9,85,50.0,0,"To fire its poison spikes, it must inflate its body by drinking over 2.6 gallons of water all at once."
212,Scizor,2,Pincer Pokémon,bug,steel,70,1.8,118.0,75,50.0,0,It swings its eye-patterned pincers up to scare its foes. This makes it look like it has three heads.
213,Shuckle,2,Mold Pokémon,bug,rock,20,0.6,20.5,5,50.0,0,Edge_case
214,Heracross,2,Singlehorn Pokémon,bug,fighting,80,1.5,54.0,75,50.0,0,This powerful POKéMON thrusts its prized horn under its enemies’ bellies then lifts and throws them.
215,Sneasel,2,Sharp Claw Pokémon,dark,ice,55,0.9,28.0,115,50.0,0,"Its paws conceal sharp claws. If attacked, it suddenly extends the claws and startles its enemy."
216,Teddiursa,2,Little Bear Pokémon,normal,,60,0.6,8.8,40,50.0,0,Edge_case
217,Ursaring,2,Hibernator Pokémon,normal,,90,1.8,125.8,55,50.0,0,"Although it is a good climber, it prefers to snap trees with its forelegs and eat fallen BERRIES."
218,Slugma,2,Lava Pokémon,fire,,40,0.7,35.0,20,50.0,0,"It never sleeps. It has to keep moving because if it stopped, its magma body would cool and harden."
219,Magcargo,2,Lava Pokémon,fire,rock,60,0.8,55.0,30,50.0,0,The shell on its back is just skin that has cooled and hardened. It breaks easily with a slight touch.
220,Swinub,2,Pig Pokémon,ice,ground,50,0.4,6.5,50,50.0,0,It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.
221,Piloswine,2,Swine Pokémon,ice,ground,100,1.1,55.8,50,50.0,0,"Because the long hair all over its body obscures its sight, it just keeps charging repeatedly."
222,Corsola,2,Coral Pokémon,water,rock,65,0.6,5.0,35,24.6,0,It continuously sheds and grows. The tip of its head is prized as a treasure for its beauty.
223,Remoraid,2,Jet Pokémon,water,,35,0.6,12.0,65,50.0,0,It has superb accuracy. The water it shoots out can strike even moving prey from more than 300 feet.
224,Octillery,2,Jet Pokémon,water,,75,0.9,28.5,45,50.0,0,It traps enemies with its suction-cupped tentacles then smashes them with its rock-hard head.
225,Delibird,2,Delivery Pokémon,ice,flying,45,0.9,16.0,75,50.0,0,It carries food all day long. There are tales about lost people who were saved by the food it had.
226,Mantine,2,Kite Pokémon,water,flying,85,2.1,220.0,70,50.0,0,"As it majestically swims, it doesn’t care if REMORAID attach to it for scavenging its leftovers."
227,Skarmory,2,Armor Bird Pokémon,steel,flying,65,1.7,50.5,70,50.0,0,"Its sturdy wings look heavy, but they are actually hollow and light, allowing it to fly freely in the sky."
228,Houndour,2,Dark Pokémon,dark,fire,45,0.6,10.8,65,50.0,0,It uses different kinds of cries for communicating with others of its kind and for pursuing its prey.
229,Houndoom,2,Dark Pokémon,dark,fire,75,1.4,35.0,115,50.0,0,"If you are burned by the flames it shoots from its mouth, the pain will never go away."
230,Kingdra,2,Dragon Pokémon,water,dragon,75,1.8,152.0,85,50.0,0,It is said that it usually hides in underwater caves. It can create whirlpools by yawning.
231,Phanpy,2,Long Nose Pokémon,ground,,90,0.5,33.5,40,50.0,0,"It swings its long snout around playfully, but because it is so strong, that can be dangerous."
232,Donphan,2,Armor Pokémon,ground,,90,1.1,120.0,50,50.0,0,"It has sharp, hard tusks and a rugged hide. Its TACKLE is strong enough to knock down a house."
233,Porygon2,2,Virtual Pokémon,normal,,85,0.6,32.5,60,,0,"This upgraded version of PORYGON is designed for space exploration. It can’t fly, though."
234,Stantler,2,Big Horn Pokémon,normal,,73,1.4,71.2,85,50.0,0,The curved antlers subtly change the flow of air to create a strange space where reality is distorted.
235,Smeargle,2,Painter Pokémon,normal,,55,1.2,58.0,75,50.0,0,A special fluid oozes from the tip of its tail. It paints the fluid everywhere to mark its territory.
236,Tyrogue,2,Scuffle Pokémon,fighting,,35,0.7,21.0,35,100.0,0,"It is always bursting with energy. To make itself stronger, it keeps on fighting even if it loses."
237,Hitmontop,2,Handstand Pokémon,fighting,,50,1.4,48.0,70,100.0,0,"If you become enchanted by its smooth, elegant, dance-like kicks, you may get drilled hard."
238,Smoochum,2,Kiss Pokémon,ice,psychic,45,0.4,6.0,65,0.0,0,Its lips are the most sensitive parts on its body. It always uses its lips first to examine things.
239,Elekid,2,Electric Pokémon,electric,,45,0.6,23.5,95,75.4,0,"It rotates its arms to generate electricity, but it tires easily, so it charges up only a little bit."
240,Magby,2,Live Coal Pokémon,fire,,45,0.7,21.4,83,75.4,0,"Each and every time it inhales and exhales, hot embers dribble out of its mouth and nostrils."
241,Miltank,2,Milk Cow Pokémon,normal,,95,1.2,75.5,100,0.0,0,"Its milk is packed with nutrition, making it the ultimate beverage for the sick or weary."
242,Blissey,2,Happiness Pokémon,normal,,255,1.5,46.8,55,0.0,0,Anyone who takes even one bite of BLISSEY’s egg becomes unfailingly caring and pleasant to everyone.
243,Raikou,2,Thunder Pokémon,electric,,90,1.9,178.0,115,,1,The rain clouds it carries let it fire thunderbolts at will. They say that it descended with lightning.
244,Entei,2,Volcano Pokémon,fire,,115,2.1,198.0,100,,1,"Volcanoes erupt when it barks. Unable to restrain its extreme power, it races headlong around the land."
245,Suicune,2,Aurora Pokémon,water,,100,2.0,187.0,85,,1,"Said to be the reincarnation of north winds, it can instantly purify filthy, murky water."
246,Larvitar,2,Rock Skin Pokémon,rock,ground,50,0.6,72.0,41,50.0,0,"It feeds on soil. After it has eaten a large mountain, it will fall asleep so it can grow."
247,Pupitar,2,Hard Shell Pokémon,rock,ground,70,1.2,152.0,51,50.0,0,"Its shell is as hard as sheet rock, and it is also very strong. Its THRASHING can topple a mountain."
248,Tyranitar,2,Armor Pokémon,rock,dark,100,2.0,202.0,71,50.0,0,"Its body can’t be harmed by any sort of attack, so it is very eager to make challenges against enemies."
249,Lugia,2,Diving Pokémon,psychic,flying,106,5.2,216.0,110,,1,It is said that it quietly spends its time deep at the bottom of the sea because its powers are too strong.
250,Ho-Oh,2,Rainbow Pokémon,fire,flying,106,3.8,199.0,90,,1,Legends claim this POKéMON flies the world’s skies continuously on its magnificent seven-colored wings.
251,Celebi,2,Time Travel Pokémon,psychic,grass,100,0.6,5.0,100,,1,This POKéMON wanders across time. Grass and trees flourish in the forests in which it has appeared.
252,Treecko,3,Wood Gecko Pokémon,grass,,40,0.5,5.0,70,88.1,0,TREECKO has small hooks on the bottom of its feet that enable it to scale vertical walls. This POKéMON attacks by slamming foes with its thick tail.
253,Grovyle,3,Wood Gecko Pokémon,grass,,50,0.9,21.6,95,88.1,0,The leaves growing out of GROVYLE’s body are convenient for camouflaging it from enemies in the forest. This POKéMON is a master at climbing trees in jungles.
254,Sceptile,3,Forest Pokémon,grass,,70,1.7,52.2,145,88.1,0,The leaves growing on SCEPTILE’s body are very sharp edged. This POKéMON is very agile - it leaps all over the branches of trees and jumps on its foe from above or behind.
255,Torchic,3,Chick Pokémon,fire,,45,0.4,2.5,45,88.1,0,"TORCHIC sticks with its TRAINER, following behind with unsteady steps. This POKéMON breathes fire of over 1,800 degrees F, including fireballs that leave the foe scorched black."
256,Combusken,3,Young Fowl Pokémon,fire,fighting,60,0.9,19.5,55,88.1,0,"COMBUSKEN toughens up its legs and thighs by running through fields and mountains. This POKéMON’s legs possess both speed and power, enabling it to dole out ten kicks in one second."
257,Blaziken,3,Blaze Pokémon,fire,fighting,80,1.9,52.0,100,88.1,0,"In battle, BLAZIKEN blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this POKéMON’s wrists burn."
258,Mudkip,3,Mud Fish Pokémon,water,,50,0.4,7.6,40,88.1,0,"The fin on MUDKIP’s head acts as highly sensitive radar. Using this fin to sense movements of water and air, this POKéMON can determine what is taking place around it without using its eyes."
259,Marshtomp,3,Mud Fish Pokémon,water,ground,70,0.7,28.0,50,88.1,0,"The surface of MARSHTOMP’s body is enveloped by a thin, sticky film that enables it to live on land. This POKéMON plays in mud on beaches when the ocean tide is low."
260,Swampert,3,Mud Fish Pokémon,water,ground,100,1.5,81.9,70,88.1,0,SWAMPERT is very strong. It has enough power to easily drag a boulder weighing more than a ton. This POKéMON also has powerful vision that lets it see even in murky water.
261,Poochyena,3,Bite Pokémon,dark,,35,0.5,13.6,35,50.0,0,"At first sight, POOCHYENA takes a bite at anything that moves. This POKéMON chases after prey until the victim becomes exhausted. However, it may turn tail if the prey strikes back."
262,Mightyena,3,Bite Pokémon,dark,,70,1.0,37.0,70,50.0,0,MIGHTYENA gives obvious signals when it is preparing to attack. It starts to growl deeply and then flattens its body. This POKéMON will bite savagely with its sharply pointed fangs.
263,Zigzagoon,3,Tiny Racoon Pokémon,normal,,38,0.4,17.5,60,50.0,0,ZIGZAGOON restlessly wanders everywhere at all times. This POKéMON does so because it is very curious. It becomes interested in anything that it happens to see.
264,Linoone,3,Rush Pokémon,normal,,78,0.5,32.5,100,50.0,0,"LINOONE always runs full speed and only in straight lines. If facing an obstacle, it makes a right-angle turn to evade it. This POKéMON is very challenged by gently curving roads."
265,Wurmple,3,Worm Pokémon,bug,,45,0.3,3.6,20,50.0,0,"Using the spikes on its rear end, WURMPLE peels the bark off trees and feeds on the sap that oozes out. This POKéMON’s feet are tipped with suction pads that allow it to cling to glass without slipping."
266,Silcoon,3,Cocoon Pokémon,bug,,50,0.6,10.0,15,50.0,0,"SILCOON tethers itself to a tree branch using silk to keep from falling. There, this POKéMON hangs quietly while it awaits evolution. It peers out of the silk cocoon through a small hole."
267,Beautifly,3,Butterfly Pokémon,bug,flying,60,1.0,28.4,65,50.0,0,"BEAUTIFLY’s favorite food is the sweet pollen of flowers. If you want to see this POKéMON, just leave a potted flower by an open window. BEAUTIFLY is sure to come looking for pollen."
268,Cascoon,3,Cocoon Pokémon,bug,,50,0.7,11.5,15,50.0,0,"CASCOON makes its protective cocoon by wrapping its body entirely with a fine silk from its mouth. Once the silk goes around its body, it hardens. This POKéMON prepares for its evolution inside the cocoon."
269,Dustox,3,Poison Moth Pokémon,bug,poison,60,1.2,31.6,65,50.0,0,"DUSTOX is instinctively drawn to light. Swarms of this POKéMON are attracted by the bright lights of cities, where they wreak havoc by stripping the leaves off roadside trees for food."
270,Lotad,3,Water Weed Pokémon,water,grass,40,0.5,2.6,30,50.0,0,"LOTAD live in ponds and lakes, where they float on the surface. It grows weak if its broad leaf dies. On rare occasions, this POKéMON travels on land in search of clean water."
271,Lombre,3,Jolly Pokémon,water,grass,60,1.2,32.5,50,50.0,0,"LOMBRE is nocturnal - it will get active after dusk. It is also a mischief-maker. When this POKéMON spots anglers, it tugs on their fishing lines from beneath the surface and enjoys their consternation."
272,Ludicolo,3,Carefree Pokémon,water,grass,80,1.5,55.0,70,50.0,0,"LUDICOLO begins dancing as soon as it hears cheerful, festive music. This POKéMON is said to appear when it hears the singing of children on hiking outings."
273,Seedot,3,Acorn Pokémon,grass,,40,0.5,4.0,30,50.0,0,"SEEDOT attaches itself to a tree branch using the top of its head. It sucks moisture from the tree while hanging off the branch. The more water it drinks, the glossier this POKéMON’s body becomes."
274,Nuzleaf,3,Wily Pokémon,grass,dark,70,1.0,28.0,60,50.0,0,NUZLEAF live in densely overgrown forests. They occasionally venture out of the forest to startle people. This POKéMON dislikes having its long nose pinched.
275,Shiftry,3,Wickid Pokémon,grass,dark,90,1.3,59.6,80,50.0,0,SHIFTRY is a mysterious POKéMON that is said to live atop towering trees dating back over a thousand years. It creates terrific windstorms with the fans it holds.
276,Taillow,3,TinySwallow Pokémon,normal,flying,40,0.3,2.3,85,50.0,0,"TAILLOW courageously stands its ground against foes, however strong they may be. This gutsy POKéMON will remain defiant even after a loss. On the other hand, it cries loudly if it becomes hungry."
277,Swellow,3,Swallow Pokémon,normal,flying,60,0.7,19.8,125,50.0,0,"SWELLOW flies high above our heads, making graceful arcs in the sky. This POKéMON dives at a steep angle as soon as it spots its prey. The hapless prey is tightly grasped by SWELLOW’s clawed feet, preventing escape."
278,Wingull,3,Seagull Pokémon,water,flying,40,0.6,9.5,85,50.0,0,WINGULL has the habit of carrying prey and valuables in its beak and hiding them in all sorts of locations. This POKéMON rides the winds and flies as if it were skating across the sky.
279,Pelipper,3,Water Bird Pokémon,water,flying,60,1.2,28.0,65,50.0,0,PELIPPER is a flying transporter that carries small POKéMON and eggs inside its massive bill. This POKéMON builds its nest on steep cliffs facing the sea.
280,Ralts,3,Feeling Pokémon,psychic,fairy,28,0.4,6.6,40,50.0,0,"RALTS senses the emotions of people using the horns on its head. This POKéMON rarely appears before people. But when it does, it draws closer if it senses that the person has a positive disposition."
281,Kirlia,3,Emotion Pokémon,psychic,fairy,38,0.8,20.2,50,50.0,0,It is said that a KIRLIA that is exposed to the positive emotions of its TRAINER grows beautiful. This POKéMON controls psychokinetic powers with its highly developed brain.
282,Gardevoir,3,Embrace Pokémon,psychic,fairy,68,1.6,48.4,100,50.0,0,"GARDEVOIR has the ability to read the future. If it senses impending danger to its TRAINER, this POKéMON is said to unleash its psychokinetic energy at full power."
283,Surskit,3,Pond Skater Pokémon,bug,water,40,0.5,1.7,65,50.0,0,"From the tips of its feet, SURSKIT secretes an oil that enables it to walk on water as if it were skating. This POKéMON feeds on microscopic organisms in ponds and lakes."
284,Masquerain,3,Eyeball Pokémon,bug,flying,70,0.8,3.6,80,50.0,0,MASQUERAIN intimidates enemies with the eyelike patterns on its antennas. This POKéMON flaps its four wings to freely fly in any direction - even sideways and backwards - as if it were a helicopter.
285,Shroomish,3,Mushroom Pokémon,grass,,60,0.4,4.5,35,50.0,0,"SHROOMISH live in damp soil in the dark depths of forests. They are often found keeping still under fallen leaves. This POKéMON feeds on compost that is made up of fallen, rotted leaves."
286,Breloom,3,Mushroom Pokémon,grass,fighting,60,1.2,39.2,70,50.0,0,"BRELOOM closes in on its foe with light and sprightly footwork, then throws punches with its stretchy arms. This POKéMON’s fighting technique puts boxers to shame."
287,Slakoth,3,Slacker Pokémon,normal,,60,0.8,24.0,30,50.0,0,"SLAKOTH lolls around for over twenty hours every day. Because it moves so little, it does not need much food. This POKéMON’s sole daily meal consists of just three leaves."
288,Vigoroth,3,Wild Monkey Pokémon,normal,,80,1.4,46.5,90,50.0,0,VIGOROTH is always itching and agitated to go on a wild rampage. It simply can’t tolerate sitting still for even a minute. This POKéMON’s stress level rises if it can’t be moving constantly.
289,Slaking,3,Lazy Pokémon,normal,,150,2.0,130.5,100,50.0,0,"SLAKING spends all day lying down and lolling about. It eats grass growing within its reach. If it eats all the grass it can reach, this POKéMON reluctantly moves to another spot."
290,Nincada,3,Trainee Pokémon,bug,ground,31,0.5,5.5,40,50.0,0,NINCADA lives underground for many years in complete darkness. This POKéMON absorbs nutrients from the roots of trees. It stays motionless as it waits for evolution.
291,Ninjask,3,Ninja Pokémon,bug,flying,61,0.8,12.0,160,50.0,0,"NINJASK moves around at such a high speed that it cannot be seen, even while its crying can be clearly heard. For that reason, this POKéMON was long believed to be invisible."
292,Shedinja,3,Shed Pokémon,bug,ghost,1,0.8,1.2,40,,0,"SHEDINJA’s hard body doesn’t move - not even a twitch. In fact, its body appears to be merely a hollow shell. It is believed that this POKéMON will steal the spirit of anyone peering into its hollow body from its back."
293,Whismur,3,Whisper Pokémon,normal,,64,0.6,16.3,28,50.0,0,"Normally, WHISMUR’s voice is very quiet - it is barely audible even if one is paying close attention. However, if this POKéMON senses danger, it starts crying at an earsplitting volume."
294,Loudred,3,Big Voice Pokémon,normal,,84,1.0,40.5,48,50.0,0,LOUDRED’s bellowing can completely decimate a wood-frame house. It uses its voice to punish its foes. This POKéMON’s round ears serve as loudspeakers.
295,Exploud,3,Loud Noise Pokémon,normal,,104,1.5,84.0,68,50.0,0,"EXPLOUD triggers earthquakes with the tremors it creates by bellowing. If this POKéMON violently inhales from the ports on its body, it’s a sign that it is preparing to let loose a huge bellow."
296,Makuhita,3,Guts Pokémon,fighting,,72,1.0,86.4,25,75.4,0,"MAKUHITA is tenacious - it will keep getting up and attacking its foe however many times it is knocked down. Every time it gets back up, this POKéMON stores more energy in its body for evolving."
297,Hariyama,3,Arm Thrust Pokémon,fighting,,144,2.3,253.8,50,75.4,0,"HARIYAMA practices its straight-arm slaps in any number of locations. One hit of this POKéMON’s powerful, openhanded, straight-arm punches could snap a telephone pole in two."
298,Azurill,3,Polka Dot Pokémon,normal,fairy,50,0.2,2.0,20,24.6,0,"AZURILL spins its tail as if it were a lasso, then hurls it far. The momentum of the throw sends its body flying, too. Using this unique action, one of these POKéMON managed to hurl itself a record 33 feet."
299,Nosepass,3,Compass Pokémon,rock,,30,1.0,97.0,30,50.0,0,"NOSEPASS’s magnetic nose is always pointed to the north. If two of these POKéMON meet, they cannot turn their faces to each other when they are close because their magnetic noses repel one another."
300,Skitty,3,Kitten Pokémon,normal,,50,0.6,11.0,50,24.6,0,SKITTY has the habit of becoming fascinated by moving objects and chasing them around. This POKéMON is known to chase after its own tail and become dizzy.
301,Delcatty,3,Prim Pokémon,normal,,70,1.1,32.6,90,24.6,0,"DELCATTY prefers to live an unfettered existence in which it can do as it pleases at its own pace. Because this POKéMON eats and sleeps whenever it decides, its daily routines are completely random."
302,Sableye,3,Darkness Pokémon,dark,ghost,50,0.5,11.0,20,50.0,0,"SABLEYE lead quiet lives deep inside caverns. They are feared, however, because these POKéMON are thought to steal the spirits of people when their eyes burn with a sinister glow in the darkness."
303,Mawile,3,Deceiver Pokémon,steel,fairy,50,0.6,11.5,50,50.0,0,"MAWILE’s huge jaws are actually steel horns that have been transformed. Its docile-looking face serves to lull its foe into letting down its guard. When the foe least expects it, MAWILE chomps it with its gaping jaws."
304,Aron,3,Iron Armor Pokémon,steel,rock,50,0.4,60.0,30,50.0,0,"This POKéMON has a body of steel. To make its body, ARON feeds on iron ore that it digs from mountains. Occasionally, it causes major trouble by eating bridges and rails."
305,Lairon,3,Iron Armor Pokémon,steel,rock,60,0.9,120.0,40,50.0,0,LAIRON tempers its steel body by drinking highly nutritious mineral springwater until it is bloated. This POKéMON makes its nest close to springs of delicious water.
306,Aggron,3,Iron Armor Pokémon,steel,rock,70,2.1,360.0,50,50.0,0,AGGRON claims an entire mountain as its own territory. It mercilessly beats up anything that violates its environment. This POKéMON vigilantly patrols its territory at all times.
307,Meditite,3,Meditate Pokémon,fighting,psychic,30,0.6,11.2,60,50.0,0,Edge_case
308,Medicham,3,Meditate Pokémon,fighting,psychic,60,1.3,31.5,100,50.0,0,"It is said that through meditation, MEDICHAM heightens energy inside its body and sharpens its sixth sense. This POKéMON hides its presence by merging itself with fields and mountains."
309,Electrike,3,Lightning Pokémon,electric,,40,0.6,15.2,65,50.0,0,ELECTRIKE stores electricity in its long body hair. This POKéMON stimulates its leg muscles with electric charges. These jolts of power give its legs explosive acceleration performance.
310,Manectric,3,Discharge Pokémon,electric,,70,1.5,40.2,135,50.0,0,"MANECTRIC is constantly discharging electricity from its mane. The sparks sometimes ignite forest fires. When it enters a battle, this POKéMON creates thunderclouds."
311,Plusle,3,Cheering Pokémon,electric,,60,0.4,4.2,95,50.0,0,"PLUSLE always acts as a cheerleader for its partners. Whenever a teammate puts out a good effort in battle, this POKéMON shorts out its body to create the crackling noises of sparks to show its joy."
312,Minun,3,Cheering Pokémon,electric,,60,0.4,4.2,95,50.0,0,MINUN is more concerned about cheering on its partners than its own safety. It shorts out the electricity in its body to create brilliant showers of sparks to cheer on its teammates.
313,Volbeat,3,Firefly Pokémon,bug,,65,0.7,17.7,85,100.0,0,"With the arrival of night, VOLBEAT emits light from its tail. It communicates with others by adjusting the intensity and flashing of its light. This POKéMON is attracted by the sweet aroma of ILLUMISE."
314,Illumise,3,Firefly Pokémon,bug,,65,0.6,17.7,85,0.0,0,"ILLUMISE attracts a swarm of VOLBEAT using a sweet fragrance. Once the VOLBEAT have gathered, this POKéMON leads the lit-up swarm in drawing geometric designs on the canvas of the night sky."
315,Roselia,3,Thorn Pokémon,grass,poison,50,0.3,2.0,65,50.0,0,ROSELIA shoots sharp thorns as projectiles at any opponent that tries to steal the flowers on its arms. The aroma of this POKéMON brings serenity to living things.
316,Gulpin,3,Stomach Pokémon,poison,,70,0.4,10.3,40,50.0,0,"Virtually all of GULPIN’s body is its stomach. As a result, it can swallow something its own size. This POKéMON’s stomach contains a special fluid that digests anything."
317,Swalot,3,Poison Bag Pokémon,poison,,100,1.7,80.0,55,50.0,0,"When SWALOT spots prey, it spurts out a hideously toxic fluid from its pores and sprays the target. Once the prey has weakened, this POKéMON gulps it down whole with its cavernous mouth."
318,Carvanha,3,Savage Pokémon,water,dark,45,0.8,20.8,65,50.0,0,CARVANHA’s strongly developed jaws and its sharply pointed fangs pack the destructive power to rip out boat hulls. Many boats have been attacked and sunk by this POKéMON.
319,Sharpedo,3,Brutal Pokémon,water,dark,70,1.8,88.8,105,50.0,0,Edge_case
320,Wailmer,3,Ball Whale Pokémon,water,,130,2.0,130.0,60,50.0,0,WAILMER’s nostrils are located above its eyes. This playful POKéMON loves to startle people by forcefully snorting out seawater it stores inside its body out of its nostrils.
321,Wailord,3,Float Whale Pokémon,water,,170,14.5,398.0,60,50.0,0,"WAILORD is the largest of all identified POKéMON up to now. This giant POKéMON swims languorously in the vast open sea, eating massive amounts of food at once with its enormous mouth."
322,Numel,3,Numb Pokémon,fire,ground,60,0.7,24.0,35,50.0,0,"NUMEL is extremely dull witted - it doesn’t notice being hit. However, it can’t stand hunger for even a second. This POKéMON’s body is a seething cauldron of boiling magma."
323,Camerupt,3,Eruption Pokémon,fire,ground,70,1.9,220.0,20,50.0,0,"CAMERUPT has a volcano inside its body. Magma of 18,000 degrees F courses through its body. Occasionally, the humps on this POKéMON’s back erupt, spewing the superheated magma."
324,Torkoal,3,Coal Pokémon,fire,,70,0.5,80.4,20,50.0,0,"TORKOAL digs through mountains in search of coal. If it finds some, it fills hollow spaces on its shell with the coal and burns it. If it is attacked, this POKéMON spouts thick black smoke to beat a retreat."
325,Spoink,3,Bounce Pokémon,psychic,,60,0.7,30.6,60,50.0,0,"SPOINK bounces around on its tail. The shock of its bouncing makes its heart pump. As a result, this POKéMON cannot afford to stop bouncing - if it stops, its heart will stop."
326,Grumpig,3,Manipulate Pokémon,psychic,,80,0.9,71.5,80,50.0,0,"GRUMPIG uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this POKéMON uses its special power, its snorting breath grows labored."
327,Spinda,3,Spot Panda Pokémon,normal,,60,1.1,5.0,60,50.0,0,"All the SPINDA that exist in the world are said to have utterly unique spot patterns. The shaky, tottering steps of this POKéMON give it the appearance of dancing."
328,Trapinch,3,Ant Pit Pokémon,ground,,45,0.7,15.0,10,50.0,0,"TRAPINCH’s nest is a sloped, bowl-like pit dug in sand. This POKéMON patiently waits for prey to tumble down the pit. Its giant jaws have enough strength to crush even boulders."
329,Vibrava,3,Vibration Pokémon,ground,dragon,50,1.1,15.3,70,50.0,0,"To make prey faint, VIBRAVA generates ultrasonic waves by vigorously making its two wings vibrate. This POKéMON’s ultrasonic waves are so powerful, they can bring on headaches in people."
330,Flygon,3,Mystic Pokémon,ground,dragon,80,2.0,82.0,100,50.0,0,"FLYGON is nicknamed “the elemental spirit of the desert.” Because its flapping wings whip up a cloud of sand, this POKéMON is always enveloped in a sandstorm while flying."
331,Cacnea,3,Cactus Pokémon,grass,,50,0.4,51.3,35,50.0,0,"CACNEA lives in arid locations such as deserts. It releases a strong aroma from its flower to attract prey. When prey comes near, this POKéMON shoots sharp thorns from its body to bring the victim down."
332,Cacturne,3,Scarecrow Pokémon,grass,dark,70,1.3,77.4,55,50.0,0,"During the daytime, CACTURNE remains unmoving so that it does not lose any moisture to the harsh desert sun. This POKéMON becomes active at night when the temperature drops."
333,Swablu,3,Cotton Bird Pokémon,normal,flying,45,0.4,1.2,50,50.0,0,SWABLU has light and fluffy wings that are like cottony clouds. This POKéMON is not frightened of people. It lands on the heads of people and sits there like a cotton-fluff hat.
